Name,Type,Size,Price,Description,Imageloc,category,tags,SKU,variationDesc
Muen i rosa,,,,Flotte muen,https://tiboine.com/wp-content/uploads/2020/10/Muen-Tor-Ivan-Boine-7063.jpg,Landskap,"Muen, Ringebu, kveldslys, Fjell, landskap",7063
Muen i rosa,Chromaluxe,30x20,895,,,,,,"ChromaLuxe aluminium skiller seg ut med å gi bildet en unik fargemetning, dybdefølelse og bildekvalitet sammenlignet med tradisjonelle aluminiumsbilder. Leveres med veggfeste"
Muen i rosa,Chromaluxe,60x40,2395,,,,,,"ChromaLuxe aluminium skiller seg ut med å gi bildet en unik fargemetning, dybdefølelse og bildekvalitet sammenlignet med tradisjonelle aluminiumsbilder. Leveres med veggfeste"
Muen i rosa,Chromaluxe,75x50,3795,,,,,,"ChromaLuxe aluminium skiller seg ut med å gi bildet en unik fargemetning, dybdefølelse og bildekvalitet sammenlignet med tradisjonelle aluminiumsbilder. Leveres med veggfeste"
Muen i rosa,Chromaluxe,90x60,5395,,,,,,"ChromaLuxe aluminium skiller seg ut med å gi bildet en unik fargemetning, dybdefølelse og bildekvalitet sammenlignet med tradisjonelle aluminiumsbilder. Leveres med veggfeste"
Muen i rosa,Chromaluxe,120x80,8795,,,,,,"ChromaLuxe aluminium skiller seg ut med å gi bildet en unik fargemetning, dybdefølelse og bildekvalitet sammenlignet med tradisjonelle aluminiumsbilder. Leveres med veggfeste"
Muen i rosa,Lerret,20x30,1095,,,,,,"Alle bilder blir strukket rundt kraftig treramme med 3.4cm dybde, klar til å henges på veggen. Bildet printes på Premium Satin Canvas med en semigloss overflate. Lerretene leveres med stålvaier-oppheng bak og det brukes kiler i hjørnene slik at det er mulig å etterstramme lerretet over tid."
Muen i rosa,Lerret,40x60,2395,,,,,,"Alle bilder blir strukket rundt kraftig treramme med 3.4cm dybde, klar til å henges på veggen. Bildet printes på Premium Satin Canvas med en semigloss overflate. Lerretene leveres med stålvaier-oppheng bak og det brukes kiler i hjørnene slik at det er mulig å etterstramme lerretet over tid."
Muen i rosa,Lerret,50x75,3095,,,,,,"Alle bilder blir strukket rundt kraftig treramme med 3.4cm dybde, klar til å henges på veggen. Bildet printes på Premium Satin Canvas med en semigloss overflate. Lerretene leveres med stålvaier-oppheng bak og det brukes kiler i hjørnene slik at det er mulig å etterstramme lerretet over tid."
Muen i rosa,Lerret,60x90,4095,,,,,,"Alle bilder blir strukket rundt kraftig treramme med 3.4cm dybde, klar til å henges på veggen. Bildet printes på Premium Satin Canvas med en semigloss overflate. Lerretene leveres med stålvaier-oppheng bak og det brukes kiler i hjørnene slik at det er mulig å etterstramme lerretet over tid."
Muen i rosa,Lerret,80x120,5595,,,,,,"Alle bilder blir strukket rundt kraftig treramme med 3.4cm dybde, klar til å henges på veggen. Bildet printes på Premium Satin Canvas med en semigloss overflate. Lerretene leveres med stålvaier-oppheng bak og det brukes kiler i hjørnene slik at det er mulig å etterstramme lerretet over tid."
Muen i rosa,FineArt smooth,20x30,295,,,,,,Papirprint for innramming. Bildene blir printet på FineArt Smooth helmatt uten struktur 300gram 
Muen i rosa,FineArt smooth,40x60,895,,,,,,Papirprint for innramming. Bildene blir printet på FineArt Smooth helmatt uten struktur 300gram 
Muen i rosa,FineArt smooth,50x75,995,,,,,,Papirprint for innramming. Bildene blir printet på FineArt Smooth helmatt uten struktur 300gram 
Muen i rosa,FineArt smooth,60x90,1295,,,,,,Papirprint for innramming. Bildene blir printet på FineArt Smooth helmatt uten struktur 300gram 
Muen i rosa,FineArt smooth,80x120,1995,,,,,,Papirprint for innramming. Bildene blir printet på FineArt Smooth helmatt uten struktur 300gram 
Nattvann,,,,Nattvann i Finnmark,https://tiboine.com/wp-content/uploads/2021/02/Nattvann_20170727_3966.jpg,Landskap,"solnedgang, Finnmark, Nord-Norge, vann, kveld",3966
Nattvann,Chromaluxe,30x20,895,,,,,,"ChromaLuxe aluminium skiller seg ut med å gi bildet en unik fargemetning, dybdefølelse og bildekvalitet sammenlignet med tradisjonelle aluminiumsbilder. Leveres med veggfeste"
Nattvann,Chromaluxe,60x40,2395,,,,,,"ChromaLuxe aluminium skiller seg ut med å gi bildet en unik fargemetning, dybdefølelse og bildekvalitet sammenlignet med tradisjonelle aluminiumsbilder. Leveres med veggfeste"
Nattvann,Chromaluxe,75x50,3795,,,,,,"ChromaLuxe aluminium skiller seg ut med å gi bildet en unik fargemetning, dybdefølelse og bildekvalitet sammenlignet med tradisjonelle aluminiumsbilder. Leveres med veggfeste"
Nattvann,Chromaluxe,90x60,5395,,,,,,"ChromaLuxe aluminium skiller seg ut med å gi bildet en unik fargemetning, dybdefølelse og bildekvalitet sammenlignet med tradisjonelle aluminiumsbilder. Leveres med veggfeste"
Nattvann,Chromaluxe,120x80,8795,,,,,,"ChromaLuxe aluminium skiller seg ut med å gi bildet en unik fargemetning, dybdefølelse og bildekvalitet sammenlignet med tradisjonelle aluminiumsbilder. Leveres med veggfeste"
Nattvann,Lerret,20x30,1095,,,,,,"Alle bilder blir strukket rundt kraftig treramme med 3.4cm dybde, klar til å henges på veggen. Bildet printes på Premium Satin Canvas med en semigloss overflate. Lerretene leveres med stålvaier-oppheng bak og det brukes kiler i hjørnene slik at det er mulig å etterstramme lerretet over tid."
Nattvann,Lerret,40x60,2395,,,,,,"Alle bilder blir strukket rundt kraftig treramme med 3.4cm dybde, klar til å henges på veggen. Bildet printes på Premium Satin Canvas med en semigloss overflate. Lerretene leveres med stålvaier-oppheng bak og det brukes kiler i hjørnene slik at det er mulig å etterstramme lerretet over tid."
Nattvann,Lerret,50x75,3095,,,,,,"Alle bilder blir strukket rundt kraftig treramme med 3.4cm dybde, klar til å henges på veggen. Bildet printes på Premium Satin Canvas med en semigloss overflate. Lerretene leveres med stålvaier-oppheng bak og det brukes kiler i hjørnene slik at det er mulig å etterstramme lerretet over tid."
Nattvann,Lerret,60x90,4095,,,,,,"Alle bilder blir strukket rundt kraftig treramme med 3.4cm dybde, klar til å henges på veggen. Bildet printes på Premium Satin Canvas med en semigloss overflate. Lerretene leveres med stålvaier-oppheng bak og det brukes kiler i hjørnene slik at det er mulig å etterstramme lerretet over tid."
Nattvann,Lerret,80x120,5595,,,,,,"Alle bilder blir strukket rundt kraftig treramme med 3.4cm dybde, klar til å henges på veggen. Bildet printes på Premium Satin Canvas med en semigloss overflate. Lerretene leveres med stålvaier-oppheng bak og det brukes kiler i hjørnene slik at det er mulig å etterstramme lerretet over tid."
Nattvann,FineArt smooth,20x30,295,,,,,,Papirprint for innramming. Bildene blir printet på FineArt Smooth helmatt uten struktur 300gram 
Nattvann,FineArt smooth,40x60,895,,,,,,Papirprint for innramming. Bildene blir printet på FineArt Smooth helmatt uten struktur 300gram 
Nattvann,FineArt smooth,50x75,995,,,,,,Papirprint for innramming. Bildene blir printet på FineArt Smooth helmatt uten struktur 300gram 
Nattvann,FineArt smooth,60x90,1295,,,,,,Papirprint for innramming. Bildene blir printet på FineArt Smooth helmatt uten struktur 300gram 
Nattvann,FineArt smooth,80x120,1995,,,,,,Papirprint for innramming. Bildene blir printet på FineArt Smooth helmatt uten struktur 300gram 
Gimsøya,,,,I Nordland,https://tiboine.com/wp-content/uploads/2021/02/TIB-20150722-3977.jpg,Landskap,"solnedgang, Nord-Norge, vann, kveld, hav",3977
Gimsøya,Chromaluxe,30x20,895,,,,,,"ChromaLuxe aluminium skiller seg ut med å gi bildet en unik fargemetning, dybdefølelse og bildekvalitet sammenlignet med tradisjonelle aluminiumsbilder. Leveres med veggfeste"
Gimsøya,Chromaluxe,60x40,2395,,,,,,"ChromaLuxe aluminium skiller seg ut med å gi bildet en unik fargemetning, dybdefølelse og bildekvalitet sammenlignet med tradisjonelle aluminiumsbilder. Leveres med veggfeste"
Gimsøya,Chromaluxe,75x50,3795,,,,,,"ChromaLuxe aluminium skiller seg ut med å gi bildet en unik fargemetning, dybdefølelse og bildekvalitet sammenlignet med tradisjonelle aluminiumsbilder. Leveres med veggfeste"
Gimsøya,Chromaluxe,90x60,5395,,,,,,"ChromaLuxe aluminium skiller seg ut med å gi bildet en unik fargemetning, dybdefølelse og bildekvalitet sammenlignet med tradisjonelle aluminiumsbilder. Leveres med veggfeste"
Gimsøya,Chromaluxe,120x80,8795,,,,,,"ChromaLuxe aluminium skiller seg ut med å gi bildet en unik fargemetning, dybdefølelse og bildekvalitet sammenlignet med tradisjonelle aluminiumsbilder. Leveres med veggfeste"
Gimsøya,Lerret,20x30,1095,,,,,,"Alle bilder blir strukket rundt kraftig treramme med 3.4cm dybde, klar til å henges på veggen. Bildet printes på Premium Satin Canvas med en semigloss overflate. Lerretene leveres med stålvaier-oppheng bak og det brukes kiler i hjørnene slik at det er mulig å etterstramme lerretet over tid."
Gimsøya,Lerret,40x60,2395,,,,,,"Alle bilder blir strukket rundt kraftig treramme med 3.4cm dybde, klar til å henges på veggen. Bildet printes på Premium Satin Canvas med en semigloss overflate. Lerretene leveres med stålvaier-oppheng bak og det brukes kiler i hjørnene slik at det er mulig å etterstramme lerretet over tid."
Gimsøya,Lerret,50x75,3095,,,,,,"Alle bilder blir strukket rundt kraftig treramme med 3.4cm dybde, klar til å henges på veggen. Bildet printes på Premium Satin Canvas med en semigloss overflate. Lerretene leveres med stålvaier-oppheng bak og det brukes kiler i hjørnene slik at det er mulig å etterstramme lerretet over tid."
Gimsøya,Lerret,60x90,4095,,,,,,"Alle bilder blir strukket rundt kraftig treramme med 3.4cm dybde, klar til å henges på veggen. Bildet printes på Premium Satin Canvas med en semigloss overflate. Lerretene leveres med stålvaier-oppheng bak og det brukes kiler i hjørnene slik at det er mulig å etterstramme lerretet over tid."
Gimsøya,Lerret,80x120,5595,,,,,,"Alle bilder blir strukket rundt kraftig treramme med 3.4cm dybde, klar til å henges på veggen. Bildet printes på Premium Satin Canvas med en semigloss overflate. Lerretene leveres med stålvaier-oppheng bak og det brukes kiler i hjørnene slik at det er mulig å etterstramme lerretet over tid."
Gimsøya,FineArt smooth,20x30,295,,,,,,Papirprint for innramming. Bildene blir printet på FineArt Smooth helmatt uten struktur 300gram 
Gimsøya,FineArt smooth,40x60,895,,,,,,Papirprint for innramming. Bildene blir printet på FineArt Smooth helmatt uten struktur 300gram 
Gimsøya,FineArt smooth,50x75,995,,,,,,Papirprint for innramming. Bildene blir printet på FineArt Smooth helmatt uten struktur 300gram 
Gimsøya,FineArt smooth,60x90,1295,,,,,,Papirprint for innramming. Bildene blir printet på FineArt Smooth helmatt uten struktur 300gram 
Gimsøya,FineArt smooth,80x120,1995,,,,,,Papirprint for innramming. Bildene blir printet på FineArt Smooth helmatt uten struktur 300gram 
Rondane,,,,Et speil i Rondane,https://tiboine.com/wp-content/uploads/2015/10/Reflection-in-Doraaldalen_15-09-28-Foto-Tor-Ivan-Boine-0794.jpg,Landskap,"Rondane, speiling, fjell, morgenlys",794
Rondane,Chromaluxe,30x20,895,,,,,,"ChromaLuxe aluminium skiller seg ut med å gi bildet en unik fargemetning, dybdefølelse og bildekvalitet sammenlignet med tradisjonelle aluminiumsbilder. Leveres med veggfeste"
Rondane,Chromaluxe,60x40,2395,,,,,,"ChromaLuxe aluminium skiller seg ut med å gi bildet en unik fargemetning, dybdefølelse og bildekvalitet sammenlignet med tradisjonelle aluminiumsbilder. Leveres med veggfeste"
